Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides 16plex_N	Razor + unique peptides 16plex_N	Unique peptides 16plex_N	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Fraction average	Fraction 1	Fraction 2	Fraction 3	Fraction 4	Fraction 5	Fraction 6	Fraction 7	Fraction 8	Fraction 9	Fraction 10	Fraction 11	Fraction 12	Q-value	Score	Identification type 16plex_N	Reporter intensity corrected 1 16plex_N	Reporter intensity corrected 2 16plex_N	Reporter intensity corrected 3 16plex_N	Reporter intensity corrected 4 16plex_N	Reporter intensity corrected 5 16plex_N	Reporter intensity corrected 6 16plex_N	Reporter intensity corrected 7 16plex_N	Reporter intensity corrected 8 16plex_N	Reporter intensity corrected 9 16plex_N	Reporter intensity corrected 10 16plex_N	Reporter intensity corrected 11 16plex_N	Reporter intensity corrected 12 16plex_N	Reporter intensity corrected 13 16plex_N	Reporter intensity corrected 14 16plex_N	Reporter intensity corrected 15 16plex_N	Reporter intensity corrected 16 16plex_N	Reporter intensity 1 16plex_N	Reporter intensity 2 16plex_N	Reporter intensity 3 16plex_N	Reporter intensity 4 16plex_N	Reporter intensity 5 16plex_N	Reporter intensity 6 16plex_N	Reporter intensity 7 16plex_N	Reporter intensity 8 16plex_N	Reporter intensity 9 16plex_N	Reporter intensity 10 16plex_N	Reporter intensity 11 16plex_N	Reporter intensity 12 16plex_N	Reporter intensity 13 16plex_N	Reporter intensity 14 16plex_N	Reporter intensity 15 16plex_N	Reporter intensity 16 16plex_N	Reporter intensity count 1 16plex_N	Reporter intensity count 2 16plex_N	Reporter intensity count 3 16plex_N	Reporter intensity count 4 16plex_N	Reporter intensity count 5 16plex_N	Reporter intensity count 6 16plex_N	Reporter intensity count 7 16plex_N	Reporter intensity count 8 16plex_N	Reporter intensity count 9 16plex_N	Reporter intensity count 10 16plex_N	Reporter intensity count 11 16plex_N	Reporter intensity count 12 16plex_N	Reporter intensity count 13 16plex_N	Reporter intensity count 14 16plex_N	Reporter intensity count 15 16plex_N	Reporter intensity count 16 16plex_N	Sequence coverage 16plex_N [%]	Intensity	Intensity 16plex_N	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Phospho (STY) site IDs	Oxidation (M) site positions	Phospho (STY) site positions	Taxonomy IDs
REV__YBR131W	REV__YBR131W	1	1	1	sp|YBR131W|CCZ1_YEAST NCSL01000025.1 66635-68749 ORF Verified Subunit of a heterodimeric guanine nucleotide exchange factor (GEF); subunit of the Mon1-Ccz1 GEF complex, which stimulates nucleotide exchange and activation of Ypt7p, a Rab family GTPase invol	1	1	1	1	1	1	1	0	0	0	80.758	704	704	11											1		0.0078431	1.9897	By MS/MS	17958	34788	38906	32584	41141	49337	47360	26609	23806	29943	47422	42015	40885	41784	19453	38593	17958	34788	38906	32584	41141	49337	47360	26609	23806	29943	47422	42015	40885	41784	19453	38593	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	18815000	18815000	1		+		15	14840	True	15331	25817	22583	22583	4		103		-1
REV__YCL034W	REV__YCL034W	2	2	2	sp|YCL034W|LSB5_YEAST NCSL01000046.1 21421-22485 ORF Verified Protein involved in membrane-trafficking events at plasma membrane; interacts with actin regulators Sla1p and Las17p, ubiquitin, Arf3p to couple actin dynamics to membrane trafficking processes;	1	2	2	2	2	2	2	0	0	0	39.929	354	354	7.33						2	1	2	1				0.0067435	2.0585	By MS/MS	638840	625140	554700	876490	766280	721010	795040	649830	520560	664710	951430	708210	907060	910430	946010	737810	638840	625140	554700	876490	766280	721010	795040	649830	520560	664710	951430	708210	907060	910430	946010	737810	4	4	4	6	4	6	6	4	4	4	6	4	4	6	6	4	0	1744400000	1744400000	2		+		16	3801;27389	True;True	3945;28331	6978;6979;6980;47522;47523;47524	6013;41479	6013;41479					-1
REV__YCR054C	REV__YCR054C	1	1	1	sp|YCR054C|CTR86_YEAST NCSL01000048.1 48581-50272 ORF Verified Essential protein of unknown function; with orthologs in Ashbya gossypii and Candida albicans; similar to human ATXN10, mutations in which cause spinocerebellar ataxia type 10; codon usage corr	1	1	1	1	1	1	1	0	0	0	65.192	563	563	3			2										0.0089435	1.9358	By MS/MS	49875	41835	29945	20726	59360	42103	46710	56032	29669	38775	27611	44915	21836	42756	48736	25801	49875	41835	29945	20726	59360	42103	46710	56032	29669	38775	27611	44915	21836	42756	48736	25801	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	58370000	58370000	1		+		17	10903	True	11290	19293;19294	16813	16813					-1
REV__YCR093W	REV__YCR093W	2	2	2	sp|YCR093W|CDC39_YEAST NCSL01000064.1 10242-16571 ORF Verified Component of the CCR4-NOT1 core complex; this complex has multiple roles in regulating mRNA levels including regulation of transcription and destabilizing mRNAs by deadenylation; basal transcri	1	2	2	2	2	2	2	0	0	0	240.51	2109	2109	5.5			1					1					1	-2	By MS/MS	66349	83247	39635	35850	50258	44022	54915	38129	48115	40323	67432	50680	50848	50759	29846	74970	66349	83247	39635	35850	50258	44022	54915	38129	48115	40323	67432	50680	50848	50759	29846	74970	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	11936000	11936000	1	+	+		18	6188;31302	True;True	6399;32387	10861;54873	9518;47787	9518;47787	5		330		-1
REV__YDL053C	REV__YDL053C	1	1	1	sp|YDL053C|PBP4_YEAST NCSL01000013.1 149058-149615 ORF Verified Pbp1p binding protein; interacts strongly with Pab1p-binding protein 1 (Pbp1p) in the yeast two-hybrid system; also interacts with Lsm12p in a copurification assay; relative distribution to th	1	1	1	1	1	1	1	0	0	0	19.863	185	185	7							1						0.0031737	2.4139	By MS/MS	183000	279630	98432	107060	258570	352360	305540	243250	332140	323630	226480	172060	198840	259690	290250	519850	183000	279630	98432	107060	258570	352360	305540	243250	332140	323630	226480	172060	198840	259690	290250	519850	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	46646000	46646000	1		+		19	23115	True	23928	40013	34907	34907					-1
REV__YDR017C	REV__YDR017C	1	1	1	sp|YDR017C|KCS1_YEAST NCSL01000013.1 31046-34198 ORF Verified Inositol hexakisphosphate and inositol heptakisphosphate kinase; generation of high energy inositol pyrophosphates by Kcs1p is required for many processes such as vacuolar biogenesis, stress res	1	1	1	1	1	1	1	0	0	0	119.51	1050	1050	6						1							0.00059189	2.8538	By MS/MS	488630	742560	611070	600080	638220	716580	694960	651490	524590	571240	772920	673980	731340	683150	547080	635020	488630	742560	611070	600080	638220	716580	694960	651490	524590	571240	772920	673980	731340	683150	547080	635020	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	269650000	269650000	1		+		20	19014	True	19723	33269	29009	29009					-1
REV__YDR102C	REV__YDR102C	1	1	1	sp|YDR102C|dubious193_YEAST NCSL01000006.1 306986-307318 ORF Dubious Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; homozygous diploid deletion strain exhibits high buddin	1	1	1	1	1	1	1	0	0	0	12.7	110	110	6						2							0.007287	2.0141	By MS/MS	0	0	0	104390	0	158290	0	307500	91701	345510	376650	676540	783160	505200	678670	383360	0	0	0	104390	0	158290	0	307500	91701	345510	376650	676540	783160	505200	678670	383360	0	0	0	2	0	2	0	2	2	2	2	2	2	2	2	2	0	1701700000	1701700000	1		+		21	3400	True	3524	6326;6327	5422	5422					-1
REV__YDR135C	REV__YDR135C	1	1	1	sp|YDR135C|YCF1_YEAST NCSL01000006.1 237744-242291 ORF Verified Vacuolar glutathione S-conjugate transporter; ABC-C transporter of the ATP-binding cassette family; required for vacuole fusion; forms stable complexes with vacuole fusion machinery; regulates	1	1	1	1	1	1	1	0	0	0	171.11	1515	1515	6						1							0.0014641	2.6595	By MS/MS	112070	141860	112340	134890	135740	138760	149310	141300	130160	143870	161400	167180	132170	149020	94923	222820	112070	141860	112340	134890	135740	138760	149310	141300	130160	143870	161400	167180	132170	149020	94923	222820	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	41291000	41291000	1		+		22	5261	True	5451	9286	8117	8117					-1
REV__YDR145W	REV__YDR145W	1	1	1	sp|YDR145W|TAF12_YEAST NCSL01000006.1 216945-218579 ORF Verified Subunit (61/68 kDa) of TFIID and SAGA complexes; involved in RNA polymerase II transcription initiation and in chromatin modification, similar to histone H2A GN=TAF12 PE=1 SV=1	1	1	1	1	1	1	1	0	0	0	61.668	544	544	3			1										0.008394	1.9763	By MS/MS	65888	85270	159740	99600	81768	115930	101220	69458	56776	126950	146170	138440	171020	115680	106490	109250	65888	85270	159740	99600	81768	115930	101220	69458	56776	126950	146170	138440	171020	115680	106490	109250	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	115020000	115020000	1		+		23	29433	True	30459	51420	44845	44845					-1
REV__YDR150W	REV__YDR150W	1	1	1	sp|YDR150W|NUM1_YEAST NCSL01000006.1 203564-209677 ORF Verified Protein required for nuclear migration; component of the mitochondria-ER-cortex-ancor (MECA); required for the association of mitochondria with the cell cortex and for accurate distribution of	1	1	1	1	1	1	1	0	0	0	232.18	2037	2037	11											1		1	-2	By MS/MS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	+	+		24	13589	True	14043	23684	20711	20711		2;3		31;33	-1
REV__YDR303C	REV__YDR303C	1	1	1	sp|YDR303C|RSC3_YEAST NCSL01000037.1 75601-78258 ORF Verified Component of the RSC chromatin remodeling complex; essential gene required for maintenance of proper ploidy and regulation of ribosomal protein genes and the cell wall/stress response; RSC3 has 	1	1	1	1	1	1	1	0	0	0	101.69	885	885	1	1												1	-2	By MS/MS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	+	+		25	26413	True	27320	45859	40042	40042		4		54	-1
REV__YDR330W	REV__YDR330W	1	1	1	sp|YDR330W|UBX5_YEAST NCSL01000059.1 21579-23081 ORF Verified UBX domain-containing protein that interacts with Cdc48p; ubiquitin regulatory X is also known as UBX GN=UBX5 PE=1 SV=1	1	1	1	1	1	1	1	0	0	0	56.736	500	500	5.5					2	2							0.0094813	1.8724	By MS/MS	422870	577780	317350	567270	756670	924910	956820	774340	858840	1248900	1405500	1735500	1347300	1195600	1132100	1266000	422870	577780	317350	567270	756670	924910	956820	774340	858840	1248900	1405500	1735500	1347300	1195600	1132100	1266000	4	4	2	4	4	4	4	4	4	4	4	4	4	4	4	4	0	785630000	785630000	2		+		26	1063	True	1110	2080;2081;2082;2083	1752;1753	1753					-1
REV__YDR359C	REV__YDR359C	1	1	1	sp|YDR359C|EAF1_YEAST NCSL01000044.1 30978-33926 ORF Verified Component of the NuA4 histone acetyltransferase complex; acts as a platform for assembly of NuA4 subunits into the native complex; required for initiation of pre-meiotic DNA replication, likely 	1	1	1	1	1	1	1	0	0	0	112.58	982	982	1	1												1	-2	By MS/MS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	+	+		27	12081	True	12500	21246	18512	18512		5		654	-1
REV__YDR523C	REV__YDR523C	1	1	1	sp|YDR523C|SPS1_YEAST NCSL01000015.1 36092-37564 ORF Verified Putative protein serine/threonine kinase; localizes to the nucleus and cytoplasm; required for efficient spore packaging, prospore membrane development and closure and localization of enzymes in	1	1	1	1	1	1	1	0	0	0	55.703	490	490	9									1				1	-2	By MS/MS	55575	89600	54656	70105	84406	45688	70787	59575	62663	73889	64939	76442	68935	42539	75944	66728	55575	89600	54656	70105	84406	45688	70787	59575	62663	73889	64939	76442	68935	42539	75944	66728	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	35208000	35208000	1	+	+		28	18424	True	19090	32198	28059	28059	6		52		-1
REV__YGR188C	REV__YGR188C	3	3	3	sp|YGR188C|BUB1_YEAST NCSL01000017.1 66015-69080 ORF Verified Protein kinase involved in the cell cycle checkpoint into anaphase; in complex with Mad1p and Bub3p, prevents progression into anaphase in presence of spindle damage; Cdc28p-mediated phosphoryla	1	3	3	3	3	3	3	0	0	0	117.77	1021	1021	5.67	2	1								3			0.0003123	4.1162	By MS/MS	4543900	6901000	9369600	8792400	9376700	8148800	8059400	8434700	5906800	7867800	7726000	7397200	8435400	7644400	9927100	4601900	4543900	6901000	9369600	8792400	9376700	8148800	8059400	8434700	5906800	7867800	7726000	7397200	8435400	7644400	9927100	4601900	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	0	3573600000	3573600000	3		+		29	2691;12357;20789	True;True;True	2804;12780;21554	5209;21678;21679;36143;36144;36145	4427;18897;31547	4427;18897;31547					-1
